id,group,transaction_id,transaction_type,recipient_name,recipient_email,amount,currency,fuel_type,quantity_liters,truck_number,truck_id,departure_date,arrival_date,storage_location,contract_ref,notes,created_at,metadata,transaction_amount,transaction_currency,transaction_date
2,Group B,BPCL-TXN-1000000,incoming,Shreya Desai,shreya.desai@bpcl.co.in,544114.22,INR,Naphtha,32493,"TRK8359,TRK5557","TID948749,TID106814",,2025-01-21,TankFarm-12,CNTR-26924,Gate pass pending,2025-02-05T04:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 32493, ""truck_count"": 2, ""contract_ref"": ""CNTR-26924"", ""storage_location"": ""TankFarm-12""}",25000.0,INR,2025-02-05T04:13:00
5,Group B,BPCL-TXN-1000001,incoming,Ketan Desai,ketan.desai@bpcl.co.in,510877.0,INR,MS,44920,"TRK3803,TRK9751,TRK5010,TRK3677,TRK8573,TRK7216","TID383060,TID771088,TID821590,TID684004,TID330283,TID817870",,2025-02-11,TankFarm-1,CNTR-23752,Standard operation,2025-02-10T12:17:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 44920, ""truck_count"": 6, ""contract_ref"": ""CNTR-23752"", ""storage_location"": ""TankFarm-1""}",25013.37,INR,2025-02-10T12:17:00
6,Group C,BPCL-TXN-1000002,incoming,Sunita Gupta,sunita.gupta@bpcl.co.in,386942.66,INR,ATF,14363,"TRK3287,TRK5040,TRK9830","TID375504,TID883300,TID712982",,2025-02-24,TankFarm-10,CNTR-26543,Gate pass pending,2025-01-29T04:32:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 14363, ""truck_count"": 3, ""contract_ref"": ""CNTR-26543"", ""storage_location"": ""TankFarm-10""}",25026.74,INR,2025-01-29T04:32:00
7,Group A,BPCL-TXN-1000003,incoming,Ajay Patel,ajay.patel@bpcl.co.in,135809.96,INR,HSD,49596,"TRK2040,TRK7304,TRK7252,TRK8668","TID654816,TID363626,TID680099,TID112038",,2025-03-29,TankFarm-12,CNTR-21876,Documentation pending,2025-02-04T20:21:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 49596, ""truck_count"": 4, ""contract_ref"": ""CNTR-21876"", ""storage_location"": ""TankFarm-12""}",25040.11,INR,2025-02-04T20:21:00
8,Group B,BPCL-TXN-1000004,incoming,Amit Singh,amit.singh@bpcl.co.in,27352.85,INR,LDO,37806,"TRK9317,TRK2743","TID755674,TID412942",,2025-03-23,TankFarm-9,CNTR-29977,Weather delay,2025-01-20T11:48:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 37806, ""truck_count"": 2, ""contract_ref"": ""CNTR-29977"", ""storage_location"": ""TankFarm-9""}",25053.48,INR,2025-01-20T11:48:00
9,Group C,BPCL-TXN-1000005,incoming,Kavita Sharma,kavita.sharma@bpcl.co.in,459234.82,INR,ATF,6276,TRK6947,TID972064,,2025-02-09,TankFarm-4,CNTR-20949,Weather delay,2025-03-14T02:05:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 6276, ""truck_count"": 1, ""contract_ref"": ""CNTR-20949"", ""storage_location"": ""TankFarm-4""}",25066.85,INR,2025-03-14T02:05:00
11,Group B,BPCL-TXN-1000006,incoming,Neha Gupta,neha.gupta@bpcl.co.in,496161.59,INR,ATF,38919,"TRK2982,TRK5061,TRK4681,TRK2049","TID454508,TID122056,TID716886,TID680828",,2025-01-30,TankFarm-10,CNTR-23608,Standard operation,2025-01-10T22:40:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 38919, ""truck_count"": 4, ""contract_ref"": ""CNTR-23608"", ""storage_location"": ""TankFarm-10""}",25080.22,INR,2025-01-10T22:40:00
12,Group C,BPCL-TXN-1000007,incoming,Kavita Sharma,kavita.sharma@bpcl.co.in,648235.67,INR,MS,38695,"TRK5562,TRK8953","TID324643,TID665427",,2025-01-17,TankFarm-12,CNTR-29355,Temperature sensitive,2025-02-01T15:51:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 38695, ""truck_count"": 2, ""contract_ref"": ""CNTR-29355"", ""storage_location"": ""TankFarm-12""}",25093.59,INR,2025-02-01T15:51:00
13,Group A,BPCL-TXN-1000008,incoming,Priya Gupta,priya.gupta@bpcl.co.in,337512.11,INR,ATF,31941,"TRK1887,TRK2612,TRK1993,TRK7596","TID863587,TID455784,TID939482,TID214576",,2025-02-01,TankFarm-4,CNTR-23116,Documentation pending,2025-02-27T04:27:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 31941, ""truck_count"": 4, ""contract_ref"": ""CNTR-23116"", ""storage_location"": ""TankFarm-4""}",25106.96,INR,2025-02-27T04:27:00
14,Group B,BPCL-TXN-1000009,incoming,Sunita Patel,sunita.patel@bpcl.co.in,346269.79,INR,Naphtha,11416,TRK9856,TID976638,,2025-01-02,TankFarm-2,CNTR-23872,Customs hold,2025-02-22T15:30:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 11416, ""truck_count"": 1, ""contract_ref"": ""CNTR-23872"", ""storage_location"": ""TankFarm-2""}",25120.33,INR,2025-02-22T15:30:00
