id,group,transaction_id,transaction_type,recipient_name,recipient_email,amount,currency,fuel_type,quantity_liters,truck_number,truck_id,departure_date,arrival_date,storage_location,contract_ref,notes,created_at,metadata
1,Group A,BPCL-TXN-1419610,outgoing,Sahil Rao,sahil.rao@bpcl.co.in,202546.59,INR,HSD,7717,TRK9935,TID191161,2025-03-17,,TankFarm-7,CNTR-20520,Standard operation,2025-01-12T06:14:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 7717, ""truck_count"": 1, ""contract_ref"": ""CNTR-20520"", ""storage_location"": ""TankFarm-7""}"
2,Group B,BPCL-TXN-1445199,incoming,Shreya Desai,shreya.desai@bpcl.co.in,544114.22,INR,Naphtha,32493,"TRK8359,TRK5557","TID948749,TID106814",,2025-01-21,TankFarm-12,CNTR-26924,Gate pass pending,2025-02-05T04:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 32493, ""truck_count"": 2, ""contract_ref"": ""CNTR-26924"", ""storage_location"": ""TankFarm-12""}"
3,Group C,BPCL-TXN-6647119,outgoing,Priya Patel,priya.patel@bpcl.co.in,300447.29,INR,LDO,23541,TRK5333,TID946335,2025-01-06,,TankFarm-12,CNTR-27527,Documentation pending,2025-01-16T12:05:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 23541, ""truck_count"": 1, ""contract_ref"": ""CNTR-27527"", ""storage_location"": ""TankFarm-12""}"
4,Group A,BPCL-TXN-7067228,outgoing,Anil Desai,anil.desai@bpcl.co.in,535814.58,INR,MS,15935,TRK5741,TID183667,2025-01-30,,TankFarm-2,CNTR-26227,Priority consignment,2025-02-28T20:53:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""MS"", ""quantity_liters"": 15935, ""truck_count"": 1, ""contract_ref"": ""CNTR-26227"", ""storage_location"": ""TankFarm-2""}"
5,Group B,BPCL-TXN-7210606,incoming,Ketan Desai,ketan.desai@bpcl.co.in,510877.0,INR,MS,44920,"TRK3803,TRK9751,TRK5010,TRK3677,TRK8573,TRK7216","TID383060,TID771088,TID821590,TID684004,TID330283,TID817870",,2025-02-11,TankFarm-1,CNTR-23752,Standard operation,2025-02-10T12:17:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 44920, ""truck_count"": 6, ""contract_ref"": ""CNTR-23752"", ""storage_location"": ""TankFarm-1""}"
6,Group C,BPCL-TXN-6279418,incoming,Sunita Gupta,sunita.gupta@bpcl.co.in,386942.66,INR,ATF,14363,"TRK3287,TRK5040,TRK9830","TID375504,TID883300,TID712982",,2025-02-24,TankFarm-10,CNTR-26543,Gate pass pending,2025-01-29T04:32:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 14363, ""truck_count"": 3, ""contract_ref"": ""CNTR-26543"", ""storage_location"": ""TankFarm-10""}"
7,Group A,BPCL-TXN-1790481,incoming,Ajay Patel,ajay.patel@bpcl.co.in,135809.96,INR,HSD,49596,"TRK2040,TRK7304,TRK7252,TRK8668","TID654816,TID363626,TID680099,TID112038",,2025-03-29,TankFarm-12,CNTR-21876,Documentation pending,2025-02-04T20:21:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 49596, ""truck_count"": 4, ""contract_ref"": ""CNTR-21876"", ""storage_location"": ""TankFarm-12""}"
8,Group B,BPCL-TXN-8294150,incoming,Amit Singh,amit.singh@bpcl.co.in,27352.85,INR,LDO,37806,"TRK9317,TRK2743","TID755674,TID412942",,2025-03-23,TankFarm-9,CNTR-29977,Weather delay,2025-01-20T11:48:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 37806, ""truck_count"": 2, ""contract_ref"": ""CNTR-29977"", ""storage_location"": ""TankFarm-9""}"
9,Group C,BPCL-TXN-9897858,incoming,Kavita Sharma,kavita.sharma@bpcl.co.in,459234.82,INR,ATF,6276,TRK6947,TID972064,,2025-02-09,TankFarm-4,CNTR-20949,Weather delay,2025-03-14T02:05:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 6276, ""truck_count"": 1, ""contract_ref"": ""CNTR-20949"", ""storage_location"": ""TankFarm-4""}"
10,Group A,BPCL-TXN-2161193,outgoing,Meera Nair,meera.nair@bpcl.co.in,580229.96,INR,HSD,32148,TRK3705,TID377932,2025-03-09,,TankFarm-10,CNTR-26932,Weather delay,2025-03-11T23:44:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 32148, ""truck_count"": 1, ""contract_ref"": ""CNTR-26932"", ""storage_location"": ""TankFarm-10""}"
11,Group B,BPCL-TXN-6229731,incoming,Neha Gupta,neha.gupta@bpcl.co.in,496161.59,INR,ATF,38919,"TRK2982,TRK5061,TRK4681,TRK2049","TID454508,TID122056,TID716886,TID680828",,2025-01-30,TankFarm-10,CNTR-23608,Standard operation,2025-01-10T22:40:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 38919, ""truck_count"": 4, ""contract_ref"": ""CNTR-23608"", ""storage_location"": ""TankFarm-10""}"
