id,group,transaction_id,transaction_type,recipient_name,recipient_email,amount,currency,fuel_type,quantity_liters,truck_number,truck_id,departure_date,arrival_date,storage_location,contract_ref,notes,created_at,metadata,transaction_amount,transaction_currency,transaction_date
1,Group A,BPCL-TXN-1000000,outgoing,Sahil Rao,sahil.rao@bpcl.co.in,202546.59,INR,HSD,7717,TRK9935,TID191161,2025-03-17,,TankFarm-7,CNTR-20520,Standard operation,2025-01-12T06:14:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 7717, ""truck_count"": 1, ""contract_ref"": ""CNTR-20520"", ""storage_location"": ""TankFarm-7""}",25000.0,INR,2025-01-12T06:14:00
3,Group C,BPCL-TXN-1000001,outgoing,Priya Patel,priya.patel@bpcl.co.in,300447.29,INR,LDO,23541,TRK5333,TID946335,2025-01-06,,TankFarm-12,CNTR-27527,Documentation pending,2025-01-16T12:05:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 23541, ""truck_count"": 1, ""contract_ref"": ""CNTR-27527"", ""storage_location"": ""TankFarm-12""}",25013.37,INR,2025-01-16T12:05:00
4,Group A,BPCL-TXN-1000002,outgoing,Anil Desai,anil.desai@bpcl.co.in,535814.58,INR,MS,15935,TRK5741,TID183667,2025-01-30,,TankFarm-2,CNTR-26227,Priority consignment,2025-02-28T20:53:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""MS"", ""quantity_liters"": 15935, ""truck_count"": 1, ""contract_ref"": ""CNTR-26227"", ""storage_location"": ""TankFarm-2""}",25026.74,INR,2025-02-28T20:53:00
10,Group A,BPCL-TXN-1000003,outgoing,Meera Nair,meera.nair@bpcl.co.in,580229.96,INR,HSD,32148,TRK3705,TID377932,2025-03-09,,TankFarm-10,CNTR-26932,Weather delay,2025-03-11T23:44:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 32148, ""truck_count"": 1, ""contract_ref"": ""CNTR-26932"", ""storage_location"": ""TankFarm-10""}",25040.11,INR,2025-03-11T23:44:00
16,Group A,BPCL-TXN-1000004,outgoing,Sahil Verma,sahil.verma@bpcl.co.in,66444.82,INR,Naphtha,32246,TRK9238,TID994141,2025-03-09,,TankFarm-3,CNTR-20931,Documentation pending,2025-01-11T05:04:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 32246, ""truck_count"": 1, ""contract_ref"": ""CNTR-20931"", ""storage_location"": ""TankFarm-3""}",25053.48,INR,2025-01-11T05:04:00
17,Group B,BPCL-TXN-1000005,outgoing,Neha Patel,neha.patel@bpcl.co.in,707657.19,INR,Naphtha,17135,TRK1651,TID749468,2025-01-11,,TankFarm-7,CNTR-29562,Documentation pending,2025-02-10T08:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 17135, ""truck_count"": 1, ""contract_ref"": ""CNTR-29562"", ""storage_location"": ""TankFarm-7""}",25066.85,INR,2025-02-10T08:13:00
18,Group C,BPCL-TXN-1000006,outgoing,Sunita Rao,sunita.rao@bpcl.co.in,311944.74,INR,LDO,30964,TRK6180,TID888387,2025-01-10,,TankFarm-1,CNTR-27508,Requires escort,2025-01-10T17:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 30964, ""truck_count"": 1, ""contract_ref"": ""CNTR-27508"", ""storage_location"": ""TankFarm-1""}",25080.22,INR,2025-01-10T17:13:00
20,Group B,BPCL-TXN-1000007,outgoing,Vikram Patel,vikram.patel@bpcl.co.in,670041.71,INR,Naphtha,11187,TRK5462,TID395442,2025-03-19,,TankFarm-4,CNTR-25617,Weather delay,2025-03-29T20:54:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 11187, ""truck_count"": 1, ""contract_ref"": ""CNTR-25617"", ""storage_location"": ""TankFarm-4""}",25093.59,INR,2025-03-29T20:54:00
23,Group B,BPCL-TXN-1000008,outgoing,Kavita Verma,kavita.verma@bpcl.co.in,177305.49,INR,HSD,7736,TRK6794,TID918011,2025-03-13,,TankFarm-7,CNTR-22532,Weather delay,2025-01-21T05:56:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 7736, ""truck_count"": 1, ""contract_ref"": ""CNTR-22532"", ""storage_location"": ""TankFarm-7""}",25106.96,INR,2025-01-21T05:56:00
29,Group B,BPCL-TXN-1000009,outgoing,Rahul Jain,rahul.jain@bpcl.co.in,667449.26,INR,Naphtha,13742,TRK7291,TID618392,2025-02-21,,TankFarm-4,CNTR-22417,Standard operation,2025-01-14T13:14:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 13742, ""truck_count"": 1, ""contract_ref"": ""CNTR-22417"", ""storage_location"": ""TankFarm-4""}",25120.33,INR,2025-01-14T13:14:00
